theta0,w0,safe
1.3195,-4.3773,1
1.3823,-4.3773,1
1.4451,-4.3773,1
1.5080,-4.3773,1
1.5708,-4.3773,1
1.6336,-4.3773,1
1.6965,-4.3773,1
1.7593,-4.3773,0
1.8221,-4.3773,0
1.8850,-4.3773,0
-1.8850,-4.1469,0
-1.8221,-4.1469,1
-1.7593,-4.1469,1
-1.6965,-4.1469,1
-1.6336,-4.1469,1
-1.5708,-4.1469,1
-1.5080,-4.1469,1
-1.4451,-4.1469,1
-1.3823,-4.1469,1
-1.3195,-4.1469,1
-1.2566,-4.1469,1
-1.1938,-4.1469,1
-1.1310,-4.1469,1
-1.0681,-4.1469,1
-1.0053,-4.1469,1
-0.9425,-4.1469,1
-0.8796,-4.1469,1
-0.8168,-4.1469,1
-0.7540,-4.1469,1
-0.6912,-4.1469,1
-0.6283,-4.1469,1
-0.5655,-4.1469,1
-0.5027,-4.1469,1
-0.4398,-4.1469,1
-0.3770,-4.1469,1
-0.3142,-4.1469,1
-0.2513,-4.1469,1
-0.1885,-4.1469,1
-0.1257,-4.1469,1
-0.0628,-4.1469,1
0.0000,-4.1469,1
0.0628,-4.1469,1
0.1257,-4.1469,1
0.1885,-4.1469,1
0.2513,-4.1469,1
0.3142,-4.1469,1
0.3770,-4.1469,1
0.4398,-4.1469,1
0.5027,-4.1469,1
0.5655,-4.1469,1
0.6283,-4.1469,1
0.6912,-4.1469,1
0.7540,-4.1469,1
0.8168,-4.1469,1
0.8796,-4.1469,1
0.9425,-4.1469,1
1.0053,-4.1469,1
1.0681,-4.1469,1
1.1310,-4.1469,1
1.1938,-4.1469,1
1.2566,-4.1469,1
1.3195,-4.1469,1
1.3823,-4.1469,1
1.4451,-4.1469,1
1.5080,-4.1469,1
1.5708,-4.1469,1
1.6336,-4.1469,1
1.6965,-4.1469,1
1.7593,-4.1469,0
1.8221,-4.1469,0
1.8850,-4.1469,0
-1.8850,-3.9165,0
-1.8221,-3.9165,1
-1.7593,-3.9165,1
-1.6965,-3.9165,1
-1.6336,-3.9165,1
-1.5708,-3.9165,1
-1.5080,-3.9165,1
-1.4451,-3.9165,1
-1.3823,-3.9165,1
-1.3195,-3.9165,1
-1.2566,-3.9165,1
-1.1938,-3.9165,1
-1.1310,-3.9165,1
-1.0681,-3.9165,1
-1.0053,-3.9165,1
-0.9425,-3.9165,1
-0.8796,-3.9165,1
-0.8168,-3.9165,1
-0.7540,-3.9165,1
-0.6912,-3.9165,1
-0.6283,-3.9165,1
-0.5655,-3.9165,1
-0.5027,-3.9165,1
-0.4398,-3.9165,1
-0.3770,-3.9165,1
-0.3142,-3.9165,1
-0.2513,-3.9165,1
-0.1885,-3.9165,1
